2205164	AS	2.74
2169390	GG	4.01
2216574	NP	3.63
2202295	MK	1.81
2214086	GA	3.0
2215068	EE	2.4
2219786	EG	2.32
2216382	GM	2.8
2218207	FM	3.64
2182517	TZ	3.51
2219443	BV	1.57
2218514	NC	1.76
2219929	TJ	5.0
2217225	GY	3.83
2219840	NA	3.34
2190469	ZW	3.52
2222830	EE	2.09
2218563	GI	3.73
2217327	KP	3.86
2215387	KE	2.68
2214139	PF	2.86
2222829	FR	4.04
2219443	CK	1.42
2205266	CN	2.03
2227371	LB	1.59
2224093	MO	3.89
2218677	GG	2.01
2215387	JM	3.41
2217147	CO	4.07
2221896	BB	4.27
2191194	GT	2.86
2218869	QA	3.95
2222092	VC	3.27
2218563	ER	2.59
2217863	SK	3.28
2214266	NF	3.51
2221859	GG	2.87
2225369	SJ	5.21
2218959	RU	3.06
2218870	NZ	1.68
2204080	BA	2.72
2224093	NP	0.53
2216472	MS	5.78
2219623	MN	2.33
2203114	SY	1.57
2204079	CN	3.91
2215387	MM	1.09
2205266	BI	3.55
2194574	HM	3.05
2169341	PH	1.8
2213350	ZW	3.83
2215387	MV	2.3
2197418	EC	1.45
2221937	JM	4.56
2216472	MO	3.98
2217327	MD	3.11
2214098	GI	3.02
2218473	EE	3.38
2221860	DK	3.91
2222993	BQ	3.14
2227130	MU	3.86
2059188	US	5.15
2223050	TN	1.11
2221962	JM	3.24
2218514	LR	4.22
2205892	PY	4.17
2227268	LK	4.18
2214098	FR	1.12
2219942	PN	3.31
2203241	ST	4.42
2222092	TH	3.01
2191194	ER	5.1
2214139	SZ	2.44
2215387	LU	2.15
2218628	PG	2.87
2215682	SC	2.87
2204018	GT	2.25
2175518	AL	6.15
2175518	AI	2.28
2222842	ET	2.47
2215682	SX	4.61
2227383	GR	4.53
2223050	SB	1.99
2219647	IM	1.63
2219798	GY	2.91
2218628	SO	2.17
2207958	MF	2.69
2213349	UM	0.71
2215592	TV	1.24
2217875	NA	1.75
2059188	SD	2.26
2222842	HU	2.22
2219839	KW	3.13
2228148	AM	1.73
2207844	KH	3.1
2216995	RE	2.61
2204018	MN	2.98
2218870	KI	3.52
2215592	SJ	3.03
2224093	IE	2.71
2218207	IS	3.14
2227575	KM	3.8
2209310	BZ	3.02
2227129	GI	3.06
2214229	RW	3.16
2221847	NF	3.12
2217376	GL	3.15
2219839	MA	3.6
2216472	NE	3.53
2218984	LA	3.27
2215399	CY	0.54
2217045	CN	3.93
2206134	GM	0.97
2216472	MX	2.46
2227845	YE	2.61
2217785	ST	3.54
2169341	TR	1.54
2216549	LK	3.11
2227040	LU	3.75
2219377	AI	4.87
2218207	LY	5.24
2215592	VI	2.48
2205892	TN	2.92
2219100	AO	3.41
2227040	MA	3.84
2214098	BZ	3.3
2216971	TZ	3.31
2218371	AO	2.07
2227599	GF	3.45
2215068	GE	2.21
2216382	DZ	3.99
2216549	LT	2.97
2228148	CK	3.63
2215465	SV	3.21
2179905	BJ	2.77
2218575	BR	2.38
2202271	RE	3.99
2213374	PS	3.53
2227040	MY	4.36
2218575	BD	3.96
2223722	CC	4.7
2215399	FM	3.97
2218563	CV	1.47
2216995	PM	4.42
2127861	GF	2.08
2227256	KE	3.68
2218575	AX	4.22
2175428	CL	1.34
2213031	SG	3.14
2227731	UY	3.89
2216791	RE	3.61
2227052	LA	5.39
