2222815	2019-01-13	SC	4.55	6088743
2164163	2019-01-16	GU	4.56	9467240
2221883	2019-01-10	BY	4.15	5202798
1790254	2019-01-30	MA	4.0	2237192
2222106	2019-01-28	PG	2.34	6935633
2184225	2019-01-11	MX	3.3	9002896
2218194	2019-01-28	LU	0.89	1235580
2222833	2019-01-24	TF	2.01	1019173
2188864	2019-01-16	SY	3.83	6456023
2227580	2019-01-28	BA	1.77	5003310
2211407	2019-01-31	BZ	3.94	2349656
2195962	2019-01-29	LR	2.52	3093976
2150580	2019-01-11	ST	3.91	5826088
2198730	2019-01-03	MT	3.75	5061884
2222124	2019-01-06	CO	2.25	1648297
2218253	2019-01-03	UA	5.0	7564858
2214138	2019-01-23	LV	0.96	4610478
2214102	2019-01-22	MR	3.96	5617271
2219434	2019-01-16	NU	3.81	6995632
2214942	2019-01-11	MX	1.4	6624905
2184245	2019-01-07	EC	3.56	3860209
2219982	2019-01-14	ST	3.78	9962354
2221119	2019-01-22	BD	3.43	7563404
2201254	2019-01-12	TC	2.38	4532887
2218198	2019-01-26	AZ	2.86	5360732
2223168	2019-01-08	BD	3.39	4025232
2214072	2019-01-17	KN	2.1	3842473
2195584	2019-01-22	CW	4.96	6743051
2218594	2019-01-09	BR	3.3	3932984
2227643	2019-01-16	PF	2.64	9532894
2202428	2019-01-10	NO	1.49	5209951
2201255	2019-01-18	PH	2.71	5712437
2188585	2019-01-08	SD	4.2	5829789
2205195	2019-01-12	MS	3.73	7509848
2188234	2019-01-14	SZ	2.21	5016733
2218186	2019-01-21	KE	1.33	7952585
2223609	2019-01-13	TO	3.6	1784832
2215330	2019-01-15	BA	2.51	9851208
2076486	2019-01-16	US	3.43	1652804
2218416	2019-01-11	GF	2.68	2400344
2205171	2019-01-24	BV	4.4	8004237
2185514	2019-01-01	CY	3.24	4330552
2205537	2019-01-10	FK	3.4	8979335
2215524	2019-01-30	IE	3.22	8599712
2213373	2019-01-26	BQ	3.72	9738673
2124205	2019-01-21	NL	0.95	5670941
2214227	2019-01-01	AS	4.87	1704719
2215437	2019-01-24	ZA	4.0	8695111
2227635	2019-01-14	HM	3.78	7301168
2218195	2019-01-10	AF	2.15	6662496
2222103	2019-01-12	PT	1.91	3506785
2164183	2019-01-19	FR	0.69	2188881
2224093	2019-01-13	TC	2.5	2667660
2195963	2019-01-30	KY	2.72	6765517
2221239	2019-01-16	BQ	3.6	6065093
2213510	2019-01-24	PG	3.35	2458305
2207351	2019-01-26	BG	2.33	7456072
2216825	2019-01-04	ID	3.14	9197663
2205535	2019-01-19	PS	3.53	7179576
2218185	2019-01-09	MQ	3.84	7014973
2223545	2019-01-03	SX	5.09	9821723
2219425	2019-01-25	PE	1.98	5303014
2225509	2019-01-21	AS	3.24	8690810
2227158	2019-01-12	ME	3.63	9185627
2204404	2019-01-19	IM	3.41	9744765
2219373	2019-01-22	UZ	4.41	4670403
2221204	2019-01-11	PN	2.19	3615657
2218253	2019-01-13	MQ	1.8	8892528
2220119	2019-01-26	BG	3.34	2113246
2217679	2019-01-05	AS	1.58	8526076
2223371	2019-01-28	CG	2.89	7412798
2169340	2019-01-17	LI	4.05	2281076
2214087	2019-01-14	UM	3.61	8010202
2214098	2019-01-16	TG	3.82	4918672
2214227	2019-01-28	SN	3.59	5269120
2219982	2019-01-03	LB	2.43	7437072
